,name,rank_url,youtube_url,start_date,discribe,subscriber_count,views
10,タキロン Takilong Kids' Toys,https://youtube-ranking.userlocal.jp/user/TakiLong08_870191,https://www.youtube.com/channel/UCU7cVpD6RJIiWw7LUZVMuCQ,2014-08-13〜,動画制作や企業案件などの問い合わせはメールアドレスからお願いします Twitter https://twitter.com/takilong08,"7,560,000","2,943,453,429"
11,Nino's Home,https://youtube-ranking.userlocal.jp/user/838FD3C4D23217B7_3f4ab5,https://www.youtube.com/channel/UCKetFmtqdh-kn915crdf72A,2017-09-09〜,"Hi, I'm Nino Nino's Home is my new channel, I will upload new videos on this channel. Please subscribe to support me. Thank you! All the recipes and dishes I have made are referenced and learned on the internet, youtube, google... I'm not the first t","7,500,000","774,456,982"
12,THE FIRST TAKE,https://youtube-ranking.userlocal.jp/user/B85723027C28BE0A_4eb54b,https://www.youtube.com/channel/UC9zY_E8mcAo_Oq772LEZq8Q,2019-11-05〜,"A microphone and a white studio. And 1 rule. You’ve got 1 TAKE. ＿ Your Music. Your Everything. All in this one take. THE FIRST TAKE Less Filter, More Music. ■「THE FIRST TAKE」OFFICIAL Web Site: https://www.thefirsttake.jp/ Instagram: https://www.insta","7,070,000","2,609,299,016"
13,東海オンエア,https://youtube-ranking.userlocal.jp/user/TokaiOnAir_6107ad,https://www.youtube.com/channel/UCutJqz56653xV2wwSvut_hQ,2013-10-13〜,どうも、東海オンエアです。 ぜひチャンネル登録お願いします！ サブチャンネル【東海オンエアの控え室】もぜひチャンネル登録してね！！！ https://www.youtube.com/channel/UCynIYcsBwTrwBIecconPN2A 有料メンバーシップの登録はこちらから！ https://www.youtube.com/channel/UCutJqz56653xV2wwSvut_hQ/join お仕事の依頼はこちらから https://www.uuum.co.jp/inquiry_,"6,730,000","11,581,156,164"
14,Kenshi Yonezu 米津玄師,https://youtube-ranking.userlocal.jp/user/31D308F235B2AC00_0ff55a,https://www.youtube.com/channel/UCUCeZaZeJbEYAAzvMgrKOPQ,2010-03-31〜,Kenshi Yonezu / HACHI Official Channel https://www.youtube.com/c/KenshiYonezuHACHI Musician / Illustrator Kenshi Yonezu is Real Name / HACHI is VOCALOID Producer Name,"6,550,000","4,541,868,564"
15,SUSHI RAMEN【Riku】,https://youtube-ranking.userlocal.jp/user/D281F8F553DE5670_48dc03,https://www.youtube.com/channel/UCljYHFazflmGaDr5Lo90KmA,2013-10-23〜,「スタイリッシュに立ち上がる装置」を発明し自ら使用した所、”装置が大暴発して想像を絶する衝撃がお尻を直撃し10m吹っ飛んだがビックリするほど無傷だった”という伝説を持つ、名前が適当すぎるYouTuber。 このチャンネルの動画を見まくっていると、「タンスに小指をぶつけた時若干タンスの角が柔らかくなる」という調査結果が出ています（対象:その辺の野球部2人/方法:不意をつく) 貴殿の代わりにワクワクする“新しい記憶”を地球から探して参りますぞ！！ ◉投稿日 月に鬼の1本。 1本に対する”気合”はパワ,"6,450,000","1,821,790,752"
16,SMG4 // Glitch Productions,https://youtube-ranking.userlocal.jp/user/supermarioglitch_ba5eda,https://www.youtube.com/channel/UC8LcA3grYZg0GNpxlXh8owg,2009-02-14〜,I make animated videos of Mario and random losers going on dumb adventures 🍝 New Episodes every Saturday 9am PT BUSINESS: business@glitchprod.com MERCH: http://glitchproductions.store,"6,360,000","3,414,677,751"
17,mania japansong,https://youtube-ranking.userlocal.jp/user/301DADDDD2AE2F88_fe66d6,https://www.youtube.com/channel/UCxFVJTRMGywDPDWNMrv69lg,2013-01-18〜,"Disney toys, Chuggington, cars, love educational toys of Thomas the Tank Engine. Thomas the Tank Engine of Plarail series of toys, it is fun. A variety of toys, and I'm going to introduce. Lord, I think various toys of Thomas the Tank Engine is large","6,100,000","374,644,328"
18,avex,https://youtube-ranking.userlocal.jp/user/avexnetwork_a2ed10,https://www.youtube.com/channel/UC1oPBUWifc0QOOY8DEKhLuQ,2008-09-04〜,avex groupの最新Music VideoはYouTubeのavex Channelで！,"5,910,000","9,590,472,049"
19,HikakinGames,https://youtube-ranking.userlocal.jp/user/HikakinGames_40b34e,https://www.youtube.com/channel/UCX1xppLvuj03ubLio8jslyA,2013-08-17〜,HikakinGamesはヒカキンのゲーム実況チャンネルです。 ◆プロフィール◆ YouTubeにてHIKAKIN、HikakinTV、HikakinGames、HikakinBlogと 4つのチャンネルを運営し、動画の総アクセス数は100億回を突破、 チャンネル登録者数は計1800万人以上。 YouTubeタレント事務所uuum株式会社ファウンダー兼最高顧問。,"5,700,000","7,127,784,668"
20,Yuka Kinoshita木下ゆうか,https://youtube-ranking.userlocal.jp/user/kinoyuu0204_65dc79,https://www.youtube.com/channel/UCFTVNLC7ysej-sD5lkLqNGA,2014-05-21〜,18時にアップします！ こんにちは、木下ゆうかです！ 食べる事が大好きで、大食いの動画をメインに投稿しています！ たまーに私生活に関する動画やレビュー動画もアップしてます。 よろしくお願いします ▼ Business Inquiries ▼　 お仕事のお問い合わせはコチラ ronmelme2021@gmail.com お手紙などは 〒150-0044 東京都渋谷区円山町28-1 渋谷道玄坂スカイビル8階 株式会社トリドリ 木下ゆうか宛 ※冷蔵・冷凍が必要な、なま物の受付はできません。 みやぎ絆大,"5,390,000","2,183,623,883"
21,老高與小茉 Mr & Mrs Gao,https://youtube-ranking.userlocal.jp/user/9EBD2E6EAA4B8D52_9c491f,https://www.youtube.com/channel/UCMUnInmOkrWN4gof9KlhNmQ,2014-11-18〜,大家好！這裡是【老高與小茉 Mr & Mrs Gao】頻道。 在這個頻道里我們會定期更新有趣的影片，希望大家能夠喜歡。 不要忘記訂閱我們哦！ 一會兒影片里見咯！,"5,330,000","1,530,516,927"
22,JunsKitchen,https://youtube-ranking.userlocal.jp/user/JunsKitchen_4c7b23,https://www.youtube.com/channel/UCRxAgfYexGLlu1WHGIMUDqw,2012-11-12〜,"Thank you for visiting my channel! If you have a request, please leave a comment. :) I am not professional chef. I just like cooking. If you're also interested, I have an Instagram below, too. Thank you! My other channel (Rachel & Jun): https://www.y","5,320,000","382,652,207"
23,The Official Pokémon YouTube channel,https://youtube-ranking.userlocal.jp/user/pokemon_75665b,https://www.youtube.com/channel/UCFctpiB_Hnlk3ejWfHqSm6Q,2005-09-16〜,"Watch Pokémon Video Game, Trading Card Game, and Animation content, along with special features, and event highlights right here on the official Pokémon YouTube channel! We’ve been catching ‘em all since 1996. For customer support, please visit https","5,100,000","1,682,454,618"
24,はねまりチャンネル・HANEMARI Channel,https://youtube-ranking.userlocal.jp/user/C77E60454BB47E74_eaedac,https://www.youtube.com/channel/UCPzqjzrvmSA9dVydRdAX6Xg,2014-08-27〜,ようこそ～「はねまり」の世界へ～！「はねまりチャンネル」です！はねちゃん、まりちゃん、はねまりパパから、ファミリー向け動画を投稿しています。 ■テレビ・TVCM ・2020年3月 LEGO Dots テレビCM ・2020年10月 日テレ「人生が変わる1分間の深イイ話」 ・2021年1月・5月・9月 フジテレビ「千鳥のクセがスゴいネタGP」3回出演 ・2021年7月 テレ東「おはスタ」生出演 ・2022年5月 テレ東卓球塾 ・2022年9月 タカラトミー社TVCM出演 ■ドラマ・舞台 ・2020,"5,050,000","3,376,989,319"
25,中田敦彦のYouTube大学 - NAKATA UNIVERSITY,https://youtube-ranking.userlocal.jp/user/F47380CE0FB6B948_f549ab,https://www.youtube.com/channel/UCFo4kqllbcQ4nV83WCyraiw,2018-02-06〜,中田敦彦が「教育系YouTuber」として、学べる動画を毎週2本更新（土・日） もっと学びたい人はライフスクール「progress」へ！ 入会はコチラ https://www.nakataatsuhiko.com/fanclub-salon ※当チャンネルAmazonアソシエイトとして適格販売により収入を得ています。,"4,960,000","1,252,623,611"
26,きまぐれクックKimagure Cook,https://youtube-ranking.userlocal.jp/user/toruteli_e991db,https://www.youtube.com/channel/UCaak9sggUeIBPOd8iK_BXcQ,2008-08-14〜,"愛知県在住の健全な妻子持ちです 主に【料理】【アウトドア】をメインであげていきます！ ※料理経験0の主なので、大目に見てくださいね ◇2016年12月23日(金)　スタート ◇2017年1月14日(土)　チャンネル登録者10,000人突破 ◇2017年 2月2日(木)　チャンネル登録者20,000人突破 ◇2017年2月23日(木)　チャンネル登録者30,000人突破 ◇2017年3月11日(土)　チャンネル登録者40,000人突破 ◇2017年3月19日(日)　チャンネル登録者50,000人突","4,900,000","2,196,151,766"
27,ヒカル（Hikaru）,https://youtube-ranking.userlocal.jp/user/091B97DEB7833C3A_646354,https://www.youtube.com/channel/UCaminwG9MTO4sLYeC3s6udA,2016-03-18〜,YouTubeでは話せない過激なツイキャス生放送はこちらから（無料です） https://twitcasting.tv/kinnpatuhikaru サブチャンネルはこちら！ https://www.youtube.com/c/HikaruGames ヒカルが愛用してる洋服ReZARDの購入はこちらから！ https://rezard.jp/ 「ReZARD」に関する情報は下のTwitterでお知らせします。 それとDM解放してるので質問などあればそこでお願いします。 https://twitt,"4,850,000","4,424,974,133"
28,TRASH 新 ドラゴン,https://youtube-ranking.userlocal.jp/user/CD6E6EE8773A2CB5_4a36c6,https://www.youtube.com/channel/UCkQ62tvPlVVb2WLppjRfPdQ,2016-08-08〜,"TRASH is a newage cyber collective and community, active in vast areas of the design, music, editing and fashion scene. Creative gang dedicated to push the boundaries of the underground scene and create a community to help aspiring talent grow and pr","4,800,000","1,723,826,890"
29,スカイピース,https://youtube-ranking.userlocal.jp/user/FAD3CADF331425A5_2f7ae4,https://www.youtube.com/channel/UC8_wmm5DX9mb4jrLiw8ZYzw,2016-07-13〜,どうもぉ〜スカイピース！Yeah!! 毎日20:00に更新中！ チャンネル登録よろしくお願いします！ - スカイピース - ■ Twitter ⇒ https://twitter.com/skypeace_teojin ■ 連絡先 ⇒ inaka72kuu@yahoo.co.jp ■ YouTubeサブ ⇒ https://www.youtube.com/channel/UCn_cpHcrXjG_XnH9N3fO6qA ■スカイピースofficial⇒http://sky-peace.com/,"4,670,000","3,546,362,075"
30,TWICE JAPAN OFFICIAL YouTube Channel,https://youtube-ranking.userlocal.jp/user/6EFCCCBBE935B44E_66b515,https://www.youtube.com/channel/UCCRb6nYKaT8tzLA8CwDdUtw,2017-02-22〜,,"4,600,000","1,549,187,653"
31,Ado,https://youtube-ranking.userlocal.jp/user/66F21D61F29ECB1E_acec77,https://www.youtube.com/channel/UCln9P4Qm3-EAY4aiEPmRwEA,2018-08-17〜,元気です。,"4,520,000","1,734,893,044"
32,BabyBus - 子供の歌 - 子どもの動画,https://youtube-ranking.userlocal.jp/user/443BE6BAF637565E_bef46c,https://www.youtube.com/channel/UCwYFFFgr4wl5Oby8gBbAZzg,2016-09-09〜,BabyBus（ベビーバス）日本語チャンネルです。 BabyBus（ベビーバス）では、幼児・子供が喜ぶうたと2D＆3Dアニメーションで、2〜5歳の子供たちのための新しく楽しい学習体験の提供を目指しています。子供たちはベビーバスのうたを歌って踊ることによって、良い習慣、安全知識、文字、色、数字などを学ぶことができます！ぜひ観て！聴いて！親子で楽しんでください！ベビーバスは赤ちゃん・幼児・子供が喜ぶうた、アニメ、知育アプリ、英語の歌などいろんな動画をアップしています。 どうぞよろしくおねがいいたしま,"4,490,000","4,450,984,868"
33,UNIVERSAL MUSIC JAPAN,https://youtube-ranking.userlocal.jp/user/universalmusicja_1c25ca,https://www.youtube.com/channel/UCl2aT0nRejTCQO_LHZAftBw,2008-03-13〜,ユニバーサル ミュージックは、世界77ヶ国に子会社となるレコード会社、或いはライセンシーを展開する世界最大の音楽企業 ユニバーサル ミュージック グループの日本法人です。 ユニバーサル ミュージック グループは、メディアと通信のグローバル企業であるビベンディ （Vivendi） 傘下の1グループです。,"4,490,000","3,395,214,437"
34,SeikinTV,https://youtube-ranking.userlocal.jp/user/SeikinTV_cf4fe1,https://www.youtube.com/channel/UCg4nOl7_gtStrLwF0_xoV0A,2012-01-29〜,SEIKIN（セイキン） 動画クリエイター / シンガーソングライター ジャンルにとらわれない幅広い内容の動画を数多く配信しているクリエイター。 また、実の兄弟音楽ユニット「HIKAKIN & SEIKIN」のヴォーカル兼、作詞作曲を自ら手掛けており、地上波の音楽番組にも出演している。,"4,400,000","4,230,926,622"
35,HidaMari Cooking,https://youtube-ranking.userlocal.jp/user/260F1904FA2FF25A_723f15,https://www.youtube.com/channel/UCcp9uRaBwInxl_SZqGRksDA,2017-09-26〜,"こんにちは、HidaMari Cooking(ひだまりクッキング)です。 このチャンネルではチョコレートや抹茶、季節のフルーツやホットケーキミックスなどを使った ケーキやデザートなど、レシピ動画を毎週投稿しています。 金曜日の夜19時、日曜日の朝10時にお菓子の動画を投稿します。 チャンネル登録や動画のコメント、評価など、 動画作りの励みになりますのでぜひよろしくお願いします。 Hello, welcome to HidaMari Cooking channel! I make Chocolat","4,250,000","458,050,794"
36,Gawr Gura(がうるぐら サメちゃん) (hololive English),https://youtube-ranking.userlocal.jp/user/0DCB37A5BB880687_c8ea33,https://www.youtube.com/channel/UCoSrY_IQQVpmIRZ9Xf-y93g,2020-09-09〜,"Shark-girl Idol of Hololive EN ! 🐟 --- A descendant of the Lost City of Atlantis, who swam to Earth while saying, ""It's so boring down there LOLOLOL!"" She bought her clothes (and her shark hat) in the human world and she really loves them. In her spa","4,250,000","326,229,629"
37,E ve,https://youtube-ranking.userlocal.jp/user/ooo0eve0ooo_839306,https://www.youtube.com/channel/UCUXfRsEIJ9xO1DT7TbEWksw,2013-11-10〜,Eve - OFFICIAL CHANNEL,"4,230,000","1,974,945,514"
38,Ayase / YOASOBI,https://youtube-ranking.userlocal.jp/user/6AFC1CA0E27E88A7_4bbcaf,https://www.youtube.com/channel/UCvpredjG93ifbCP1Y77JyFA,2018-11-16〜,シンガーソングライター、ボカロPのAyase、そしてAyaseがコンポーザーを務めるユニット・YOASOBIのYouTubeチャンネルです。,"4,210,000","2,226,445,964"
39,Kota Mino Channel / こたみのチャンネル,https://youtube-ranking.userlocal.jp/user/CB94A831744CF427_b19401,https://www.youtube.com/channel/UCgSUwAyy0p1tcgDoQagvSOA,2017-07-26〜,2019年4月「こたみのチャンネル」がスタートしました。 それから2020年9月、100万人ものこども達にチャンネル登録してもらうまでに成長しました。 最初は小さくて、1日に数回しか見られなかったチャンネル。 今では世界中で、月に1億回も見てもらっていることもあります。 その数なんと、214もの国と地域で。 動画に出てくるこたくんとみのちゃんと一緒に、いろんな体験をしてほしい。 怒ったり、笑ったり、時には泣いたりしながら。 そして嫌なことがあっても、こたみのチャンネルを見て笑って、ちょっぴり元気,"4,190,000","2,227,155,200"
40,ONE OK ROCK,https://youtube-ranking.userlocal.jp/user/ONEOKROCKchannel_8c8060,https://www.youtube.com/channel/UCzycs8MqvIY4nXWwS-v4J9g,2011-10-07〜,ONE OK ROCK Official Channel,"4,190,000","1,636,301,317"
41,キヨ。,https://youtube-ranking.userlocal.jp/user/KIYOisGOD_389a76,https://www.youtube.com/channel/UCMJiPpN_09F0aWpQrgbc_qg,2014-03-01〜,こんにちは。 なんかよくわからんけど色々やる。 【ツイッター】　http://twitter.com/kiyo_saiore　（動画・更新情報など） 【インスタグラム】　http://www.instagram.com/kiyo_yuusya 【連絡先】saiorenraku@yahoo.co.jp,"4,110,000","4,324,663,789"
42,takahashi taiyou,https://youtube-ranking.userlocal.jp/user/katuzei_3ad581,https://www.youtube.com/channel/UC6K0hSHAJZ7sAp4IAbQ4GFw,2010-11-22〜,"This channel is, I make a video that will be glad children. Thomas the Tank Engine is love, love is also Disney's educational toys. Thomas the Tank Engine and wood, is a fun movie for children to rejoice. Japanese toys, will come out a lot. Cars of D","4,060,000","444,989,183"
43,水溜りボンド,https://youtube-ranking.userlocal.jp/user/77ED909FDD880C34_e30887,https://www.youtube.com/channel/UCpOjLndjOqMoffA-fr8cbKA,2014-10-06〜,メインチャンネル、サブチャンネル（日常）、個人チャンネルが連動して毎日投稿を再開しました！！ さまざまな「気になるけど自分ではやらないこと」を動画にして投稿してます！ 少しでも興味を持っていただけたら是非チャンネル登録お願いします！！ 【お仕事に関するお問い合わせ（UUUM）】 https://uuum.co.jp/inquiry_top 【ファンレターに関しまして】 https://uuum.jp/guidance,"4,050,000","4,137,204,879"
44,ノッカーナアニメーション nokkana animation,https://youtube-ranking.userlocal.jp/user/nokkanaanimation_4116a1,https://www.youtube.com/channel/UClWQzKNJiiQy7VXaaSN1Z8A,2013-08-14〜,ご覧いただきましてありがとうございます。 ノッカーナアニメーションは赤ちゃん・幼児・子供向けアニメチャンネルです。 赤ちゃんが喜ぶ「いないいないばぁ」アニメや童謡、お子様の知育・教育に役立つ動画を配信しております。 チャンネル登録して見ていただけるとうれしいです☆ Thank you for watching my channel. This is animation channel for baby and children. 시청 해 주셔서 감사합니다.　이 아기와 어린이를위한 애니메이,"3,950,000","2,496,593,934"
45,コムドット,https://youtube-ranking.userlocal.jp/user/6F55C1CDEEAFF892_79569b,https://www.youtube.com/channel/UCRxPrFmRHsXGWfAyE6oqrPQ,2018-10-03〜,"2018年10月1日結成 日本を獲るYouTuberコムドットです。 ""地元ノリを全国ノリに” ""放課後の延長”というスローガンを掲げ、幼馴染み5人組でYouTube界の次の時代を創ります。 コムドットという名の伝説の生き証人になる覚悟ができたらチャンネル登録お願いします。 【2018年】 10月1日　：結成 10月4日　：初投稿 11月24日 ：チャンネル登録者数500人突破 12月20日 ：チャンネル登録者数1,000人突破 【2019年】 1月27日　：チャンネル登録者数3,000人突破","3,870,000","2,843,009,589"
46,NHK,https://youtube-ranking.userlocal.jp/user/NHKonline_29974d,https://www.youtube.com/channel/UCip8ve30-AoX2y2OtAAmqFA,2007-07-14〜,NHKが広報のために公開している動画のチャンネルです。,"3,820,000","1,845,637,618"
47,Kids Labo TV,https://youtube-ranking.userlocal.jp/user/A2D94F61BBEAAAA7_62b99b,https://www.youtube.com/channel/UCaDYRLZC8FL-Df3ZJHDnpzw,2015-07-01〜,キッズラボTVへようこそ。 おもちゃ動画を投稿しています。 企業案件等のご依頼は下記メールアドレスまでお願いします。 info.kidslabotv@gmail.com,"3,820,000","3,714,306"
48,【Repezen Foxx】,https://youtube-ranking.userlocal.jp/user/4A24AB686A720857_c0ff5c,https://www.youtube.com/channel/UC3eTZ5Yld6qufD6rtEiERdw,2018-01-27〜,自称DJ,"3,710,000","1,171,903,936"
49,Cafe Music BGM channel,https://youtube-ranking.userlocal.jp/user/cafemusicbgmchan_3a17b5,https://www.youtube.com/channel/UCJhjE7wbdYAae1G25m0tHAA,2014-11-05〜,"☕ About Cafe Music BGM channel We are making Cafe music for relaxation, for work, for study, etc. All music in this video & in this channel is original music by us. We are playing all the songs. 📜 What is BGMC? Morning. Gentle light that shines throu","3,690,000","1,272,241,069"
50,ジャにのちゃんねる,https://youtube-ranking.userlocal.jp/user/FBE7184D432076EC_ed45e3,https://www.youtube.com/channel/UC2alHD2WkakOiTxCxF-uMAg,2021-04-08〜,二宮和也、中丸雄一、山田涼介、菊池風磨が ここ、YouTubeでオリジナルのユニットが誕生…!! とにかく、緩く! 楽しく!! 我々らしく!!! 突き進みますので、みなさまもチャンネル登録の程 お付き合いして頂けますと、大変喜びます。 という事でこれからもよろしくお願い致します!!!!,"3,630,000","664,716,398"
51,fumikiri channel,https://youtube-ranking.userlocal.jp/user/mitsukun2010_442420,https://www.youtube.com/channel/UCjsfBituOiCYAXc89rH4FnQ,2010-08-30〜,2015年6月から子供向けアニメの制作を始めました。 うちの息子が踏切カンカンや電車が大好きで、息子を喜ばせようと思ったのがきっかけで踏切＆電車アニメを作成する様になりました。 1本作るのに結構時間がかかりますが、コツコツ動画を作成してアップしていきます。 こどもたちが笑顔になれる様な楽しい作品作りをがんばっていきます。 アニメならではの遊び心満載の動画をどんどん作成していきますので、 チャンネル登録是非お願いします。 ビジネスオファー、作品制作依頼などは、以下からお願いします。 https:/,"3,580,000","2,348,530,911"
52,エガちゃんねる EGA-CHANNEL,https://youtube-ranking.userlocal.jp/user/B97023651BD6F967_7801aa,https://www.youtube.com/channel/UCL6JY2DXJNDOIqCP1CRADng,2020-01-31〜,お笑い芸人、江頭2:50がYouTubeを始めます。 「YouTubeでやりたいこと全部やってやる！おもしろいこと全部やってやる！」 世界のEGA目指して江頭2:50、頑張ります。 Egashira2:50 is a BADASS SAMURAI !!! Please Subscribe !!! ☆サブチャンネル「エガちゃんねる〜替えのパンツ〜」 　https://www.youtube.com/channel/UCU607BfClX724VqZZ9zWWcA ☆エガちゃんねる「ノーパン村」,"3,580,000","666,782,888"
53,Kan & Aki's CHANNELかんあきチャンネル,https://youtube-ranking.userlocal.jp/user/potemi926_8fc14e,https://www.youtube.com/channel/UCNHqosTdwFPSK5OQsjFoS5g,2010-05-01〜,かんなあきらあさひ3姉妹＆末っ子長男ぎんた、パパママの6人家族で 日常Vlogやファミリーおでかけ動画、ゲーム実況などいろんな動画をアップ。 お子様と一緒にパパママさんたちにも楽しんでいただける動画がつくれたらと思ってます♪ 撮影、編集、コメントの返信などはママがしております♪ どうぞよろしくおねがいいたします❤ ★お手紙（ファンレター）の送付先ができました★ 〒154-0001 東京都世田谷区池尻2−31−20-501 かんあきチャンネル　宛 ※普通郵便以外のお荷物の郵送などはお受けできません,"3,550,000","9,509,021,200"
54,圧倒的不審者の極み!,https://youtube-ranking.userlocal.jp/user/EEFC25B210600145_aad945,https://www.youtube.com/channel/UCg3qsVzHeUt5_cPpcRtoaJQ,2016-09-24〜,「どうも！圧倒的不審者の極みです♡」 主に包丁を研いだり作ったりする専門チャンネルです ※作るものは全て18禁でございます。それ以外の方も作品の耐久性に問題がある可能性があり非常に危険です。 どのように作ったか楽しむ程度に御覧ください。 ※動画の内容を参考にして発生したトラブルは全て自己責任でお願いします。 ビジネス関係のお問い合わせは、Youtubeに表記されているメールアドレス、又はツイッターのDMよりお願い致します,"3,540,000","605,216,683"
55,まふまふちゃんねる,https://youtube-ranking.userlocal.jp/user/1410EA60301EACBE_e9019c,https://www.youtube.com/channel/UCOTR1tcOAhjgi6YukrPpZxg,2014-11-26〜,まふまふ　mafumafu official channel のんびり楽しくやっていきます(´lωl｀),"3,500,000","2,019,611,656"
56,RRcherrypie,https://youtube-ranking.userlocal.jp/user/RRcherrypie_c6b1c2,https://www.youtube.com/channel/UCwnro7pVC3fDjVavLT_LAjQ,2006-09-27〜,⚠️Do Not Re-upload My Videos / Images. 転載禁止（無断配信者は『チャンネルの著作権』機能により報告され次第、削除リクエストします。） ＊公認している実写配信者様もいますが、新規の契約はお受けしていません。 ※『著作権侵害の申し立ての撤回』を要請してくる転載者がいますが、転載者が多すぎて調べる時間がないため、個別対応はいたしません。 チャンネルを安全に運営するため、利用規約の遵守に御協力いただき感謝いたします。 ⚠️13歳未満のコメントは非表示になりますことを,"3,490,000","2,922,877,113"
